Genotype,Environment,Yield
Genotype91,Env2,3514.405691
Genotype92,Env2,5340.678545
Genotype93,Env2,5112.72149
Genotype94,Env2,4786.572433
Genotype95,Env2,5214.560233
Genotype96,Env2,5223.513403
Genotype97,Env2,5066.13469
Genotype98,Env2,5375.977928
Genotype99,Env2,5527.816873
Genotype100,Env2,5265.287269
Genotype101,Env2,5103.598586
Genotype102,Env2,5673.965653
Genotype103,Env2,5804.413399
Genotype104,Env2,5676.90864
Genotype105,Env2,5108.499195
Genotype106,Env2,5298.493528
Genotype107,Env2,4881.454778
Genotype108,Env2,5861.371211
Genotype109,Env2,4936.144495
Genotype110,Env2,5052.756303
Genotype111,Env2,5420.254607
Genotype112,Env2,5460.462011
Genotype113,Env2,5387.765419
Genotype114,Env2,4304.296895
Genotype115,Env2,5264.363806
Genotype116,Env2,5274.498983
Genotype117,Env2,5191.007769
Genotype118,Env2,5038.692561
Genotype119,Env2,6591.594873
Genotype120,Env2,5376.138886
Genotype121,Env2,6039.31819
Genotype122,Env2,5143.034691
Genotype123,Env2,5036.977591
Genotype124,Env2,7011.229036
Genotype125,Env2,5976.169556
Genotype126,Env2,5627.704749
Genotype127,Env2,4961.408423
Genotype128,Env2,4456.47654
Genotype129,Env2,4963.674441
Genotype130,Env2,5735.597711
Genotype131,Env2,5504.942428
Genotype132,Env2,5286.434341
Genotype133,Env2,5390.290556
Genotype134,Env2,5250.500823
Genotype135,Env2,6532.013278
Genotype136,Env2,5394.623653
Genotype137,Env2,4931.31734
Genotype138,Env2,5337.22264
Genotype139,Env2,6660.468161
Genotype140,Env2,5286.459411
Genotype141,Env2,5977.810611
Genotype142,Env2,5165.887641
Genotype143,Env2,5168.155173
Genotype144,Env2,4921.956399
Genotype145,Env2,5220.051911
Genotype146,Env2,5488.093345
Genotype147,Env2,5888.776619
Genotype148,Env2,5996.065336
Genotype149,Env2,3898.070823
Genotype150,Env2,5140.976761
Genotype151,Env2,5742.332141
Genotype152,Env2,5685.489253
Genotype153,Env2,4872.418061
Genotype154,Env2,5331.969161
Genotype155,Env2,5359.559769
Genotype156,Env2,5332.758203
Genotype157,Env2,6563.646639
Genotype158,Env2,5535.477023
Genotype159,Env2,5470.224456
Genotype160,Env2,5430.153657
Genotype161,Env2,5246.721328
Genotype162,Env2,5046.995923
Genotype163,Env2,5355.60709
Genotype164,Env2,5262.416723
Genotype165,Env2,4750.037789
Genotype166,Env2,5219.818173
Genotype167,Env2,5061.860061
Genotype168,Env2,5644.901673
Genotype169,Env2,4846.327306
Genotype170,Env2,4699.062149
Genotype171,Env2,5059.811845
Genotype172,Env2,3020.442903
Genotype173,Env2,4608.776978
Genotype174,Env2,3677.027607
Genotype175,Env2,5768.053336
Genotype176,Env2,4445.059523
Genotype177,Env2,5181.224741
Genotype178,Env2,5060.378173
Genotype179,Env2,4763.675323
Genotype180,Env2,5813.973386
Genotype181,Env2,2252.062245
Genotype182,Env2,3116.604656
Genotype183,Env2,3343.540439
Genotype184,Env2,6692.591206
Genotype185,Env2,3271.649603
Genotype186,Env2,5869.386423
Genotype187,Env2,5628.14869
